President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
Donald Trump,10/08/2018,10/14/2018,44,51,5
,10/01/2018,10/07/2018,43,53,4
,09/24/2018,09/30/2018,42,53,5
,09/17/2018,09/23/2018,40,56,4
,09/10/2018,09/16/2018,38,56,6
,09/03/2018,09/09/2018,40,54,6
,08/27/2018,09/02/2018,41,53,6
,08/20/2018,08/26/2018,41,54,5
,08/13/2018,08/19/2018,42,52,6
,08/06/2018,08/12/2018,39,56,5
,07/30/2018,08/05/2018,41,54,5
,07/23/2018,07/29/2018,40,55,5
,07/16/2018,07/22/2018,42,54,4
,07/09/2018,07/15/2018,43,52,5
,07/02/2018,07/08/2018,41,56,3
,06/25/2018,07/01/2018,42,53,5
,06/18/2018,06/24/2018,41,55,4
,06/11/2018,06/17/2018,45,50,5
,06/04/2018,06/10/2018,42,54,4
,05/28/2018,06/03/2018,41,55,4
,05/21/2018,05/27/2018,40,55,5
,05/14/2018,05/20/2018,42,54,4
,05/07/2018,05/13/2018,43,52,5
,04/30/2018,05/06/2018,42,52,6
,04/23/2018,04/29/2018,42,53,5
,04/16/2018,04/22/2018,38,57,5
,04/09/2018,04/15/2018,39,55,6
,04/02/2018,04/08/2018,41,54,5
,03/26/2018,03/31/2018,39,55,6
,03/19/2018,03/25/2018,39,55,6
,03/12/2018,03/18/2018,40,56,4
,03/05/2018,03/11/2018,39,56,5
,02/26/2018,03/04/2018,39,55,6
,02/19/2018,02/25/2018,39,56,5
,02/12/2018,02/18/2018,37,59,4
,02/05/2018,02/11/2018,40,57,3
,01/29/2018,02/04/2018,40,57,3
,01/21/2018,01/28/2018,38,58,4
,01/15/2018,01/21/2018,36,59,5
,01/08/2018,01/14/2018,38,57,5
,01/01/2018,01/07/2018,37,58,5
,12/25/2017,12/31/2017,39,55,6
,12/18/2017,12/24/2017,37,57,6
,12/11/2017,12/17/2017,35,60,5
,12/04/2017,12/10/2017,36,59,5
,11/27/2017,12/03/2017,35,59,6
,11/20/2017,11/26/2017,37,56,7
,11/13/2017,11/19/2017,38,57,5
,11/06/2017,11/12/2017,38,56,6
,10/30/2017,11/05/2017,38,58,4
,10/23/2017,10/29/2017,35,60,5
,10/16/2017,10/22/2017,36,58,6
,10/09/2017,10/15/2017,37,57,6
,10/02/2017,10/08/2017,38,56,6
,09/25/2017,10/01/2017,37,58,5
,09/18/2017,09/24/2017,38,55,7
,09/11/2017,09/17/2017,38,57,5
,09/04/2017,09/10/2017,37,57,6
,08/28/2017,09/03/2017,36,59,5
,08/21/2017,08/27/2017,35,60,5
,08/14/2017,08/20/2017,37,58,5
,08/07/2017,08/13/2017,36,58,6
,07/31/2017,08/06/2017,37,58,5
,07/24/2017,07/30/2017,38,57,5
,07/17/2017,07/23/2017,37,58,5
,07/10/2017,07/16/2017,39,56,5
,07/03/2017,07/09/2017,38,57,5
,06/26/2017,07/02/2017,39,56,5
,06/19/2017,06/25/2017,39,56,5
,06/12/2017,06/18/2017,38,57,5
,06/05/2017,06/11/2017,37,58,5
,05/29/2017,06/04/2017,38,56,6
,05/22/2017,05/28/2017,41,54,5
,05/15/2017,05/21/2017,38,56,6
,05/08/2017,05/14/2017,38,56,6
,05/01/2017,05/07/2017,42,53,5
,04/24/2017,04/30/2017,41,54,5
,04/17/2017,04/23/2017,41,52,7
,04/10/2017,04/16/2017,40,54,6
,04/03/2017,04/09/2017,40,53,7
,03/27/2017,04/02/2017,38,57,5
,03/20/2017,03/26/2017,39,56,5
,03/13/2017,03/19/2017,40,55,5
,03/06/2017,03/12/2017,42,52,6
,02/27/2017,03/05/2017,43,51,6
,02/20/2017,02/26/2017,42,53,5
,02/13/2017,02/19/2017,40,54,6
,02/06/2017,02/12/2017,41,53,6
,01/30/2017,02/05/2017,43,52,5
,01/23/2017,01/29/2017,45,47,8
